City,Type,Index
"Miami-Fort Lauderdale-West Palm Beach, FL",metro,106.8
"Michigan City-La Porte, IN",metro,85.6
"Midland, MI",metro,91.1
"Midland, TX",metro,100.5
"Milwaukee-Waukesha-West Allis, WI",metro,95.7
"Minneapolis-St. Paul-Bloomington, MN-WI",metro,102.4
"Missoula, MT",metro,96
"Mobile, AL",metro,88
"Modesto, CA",metro,98.7
"Monroe, LA",metro,85.9
"Monroe, MI",metro,94.6
"Montgomery, AL",metro,89.3
"Morgantown, WV",metro,91.3
"Morristown, TN",metro,81.3
"Mount Vernon-Anacortes, WA",metro,97.6
"Muncie, IN",metro,88.6
"Muskegon, MI",metro,87.9
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",metro,90.7
"Napa, CA",metro,120.1
"Naples-Immokalee-Marco Island, FL",metro,100
"Nashville-Davidson--Murfreesboro--Franklin, TN",metro,93.9
"New Bern, NC",metro,86.7
"New Haven-Milford, CT",metro,112.1
"New Orleans-Metairie, LA",metro,95.6
"New York-Newark-Jersey City, NY-NJ-PA",metro,121.9
"Niles-Benton Harbor, MI",metro,89.4
"North Port-Sarasota-Bradenton, FL",metro,98.8
"Norwich-New London, CT",metro,100.3
"Ocala, FL",metro,90.2
"Ocean City, NJ",metro,106.8
"Odessa, TX",metro,97.6
"Ogden-Clearfield, UT",metro,95.6
"Oklahoma City, OK",metro,92.1
"Olympia-Tumwater, WA",metro,106.2
"Omaha-Council Bluffs, NE-IA",metro,93.7
"Orlando-Kissimmee-Sanford, FL",metro,97.8
"Oshkosh-Neenah, WI",metro,91.3
"Owensboro, KY",metro,87.5
"Oxnard-Thousand Oaks-Ventura, CA",metro,116.1
"Palm Bay-Melbourne-Titusville, FL",metro,95.3
"Panama City, FL",metro,94.2
"Parkersburg-Vienna, WV",metro,86.3
"Pensacola-Ferry Pass-Brent, FL",metro,93
"Peoria, IL",metro,91.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",metro,106.3
"Phoenix-Mesa-Scottsdale, AZ",metro,97.2
"Pine Bluff, AR",metro,83.5
"Pittsburgh, PA",metro,94.7
"Pittsfield, MA",metro,95.1
"Pocatello, ID",metro,89.2
"Portland-South Portland, ME",metro,101
"Portland-Vancouver-Hillsboro, OR-WA",metro,101.8
"Port St. Lucie, FL",metro,95.8
"Prescott, AZ",metro,95.2
"Providence-Warwick, RI-MA",metro,99.1
"Provo-Orem, UT",metro,97.5
"Pueblo, CO",metro,92.1
"Punta Gorda, FL",metro,94.6
"Racine, WI",metro,93.6
"Raleigh, NC",metro,95.8
"Rapid City, SD",metro,91.6
"Reading, PA",metro,95.5
"Redding, CA",metro,98.1
"Reno, NV",metro,99.1
"Richmond, VA",metro,96.1
"Riverside-San Bernardino-Ontario, CA",metro,106.7
"Roanoke, VA",metro,91.3
"Rochester, MN",metro,93.6
"Rochester, NY",metro,97.6
"Rockford, IL",metro,90.6
"Rocky Mount, NC",metro,85.1
"Rome, GA",metro,80.2
"Sacramento--Roseville--Arden-Arcade, CA",metro,102.6
"Saginaw, MI",metro,89.1
"St. Cloud, MN",metro,92.4
"St. George, UT",metro,93.8
"St. Joseph, MO-KS",metro,88.2
"St. Louis, MO-IL",metro,90.6
"Salem, OR",metro,95.5
"Salinas, CA",metro,108.5
"Salisbury, MD-DE",metro,90.2
"Salt Lake City, UT",metro,100
"San Angelo, TX",metro,93.9
"San Antonio-New Braunfels, TX",metro,94.4
"San Diego-Carlsbad, CA",metro,116.6
"San Francisco-Oakland-Hayward, CA",metro,121.9
"San Jose-Sunnyvale-Santa Clara, CA",metro,124.1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",metro,107.3
"Santa Cruz-Watsonville, CA",metro,122
"Santa Fe, NM",metro,100.1
"Santa Maria-Santa Barbara, CA",metro,109.4
"Santa Rosa, CA",metro,118.5
"Savannah, GA",metro,93.6
"Scranton--Wilkes-Barre--Hazleton, PA",metro,92
"Seattle-Tacoma-Bellevue, WA",metro,109.4
"Sebastian-Vero Beach, FL",metro,91.5
"Sebring, FL",metro,81.9
"Sheboygan, WI",metro,90.9
"Sherman-Denison, TX",metro,91.3
"Shreveport-Bossier City, LA",metro,90.4
"Sierra Vista-Douglas, AZ",metro,89.7
"Sioux City, IA-NE-SD",metro,88.7
"Sioux Falls, SD",metro,92.4
"South Bend-Mishawaka, IN-MI",metro,89.3
"Spartanburg, SC",metro,87.4
"Spokane-Spokane Valley, WA",metro,95.6
"Springfield, IL",metro,91.2
"Springfield, MA",metro,97.3
"Springfield, MO",metro,88.3
"Springfield, OH",metro,87.8
"State College, PA",metro,102.1
"Staunton-Waynesboro, VA",metro,87.6
"Stockton-Lodi, CA",metro,100.4
"Sumter, SC",metro,87.7
"Syracuse, NY",metro,95.9
"Tallahassee, FL",metro,93.3
"Tampa-St. Petersburg-Clearwater, FL",metro,100.7
"Terre Haute, IN",metro,87.8
"Texarkana, TX-AR",metro,86.6
"The Villages, FL",metro,91.7
"Toledo, OH",metro,89.2
"Topeka, KS",metro,89.4
"Trenton, NJ",metro,112
"Tucson, AZ",metro,97
"Tulsa, OK",metro,91
"Tuscaloosa, AL",metro,88.1
"Tyler, TX",metro,94
"Urban Honolulu, HI",metro,124.5
"Utica-Rome, NY",metro,93.4
"Valdosta, GA",metro,81.1
"Vallejo-Fairfield, CA",metro,115.9
"Victoria, TX",metro,94.1
"Vineland-Bridgeton, NJ",metro,100.1
"Virginia Beach-Norfolk-Newport News, VA-NC",metro,98
"Visalia-Porterville, CA",metro,95.4
"Waco, TX",metro,91.5
"Walla Walla, WA",metro,93.8
"Warner Robins, GA",metro,89.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",metro,119.1
"Waterloo-Cedar Falls, IA",metro,90.8
"Watertown-Fort Drum, NY",metro,98.3
"Wausau, WI",metro,91.2
"Weirton-Steubenville, WV-OH",metro,85.6
"Wenatchee, WA",metro,94.9
"Wheeling, WV-OH",metro,86.3
"Wichita, KS",metro,90.7
"Wichita Falls, TX",metro,90.1
"Williamsport, PA",metro,93
"Wilmington, NC",metro,94
"Winchester, VA-WV",metro,91.6
"Winston-Salem, NC",metro,89.4
"Worcester, MA-CT",metro,103.5
"Yakima, WA",metro,94.7
"York-Hanover, PA",metro,96.2
"Youngstown-Warren-Boardman, OH-PA",metro,87.7
"Yuba City, CA",metro,98.7
"Yuma, AZ",metro,92.9
