City,Type,Index
"Carlisle, PA",metro,96
"Harrisonburg, VA",metro,89.9
"Hartford, CT",metro,100.8
"West Hartford, CT",metro,100.8
"East Hartford, CT",metro,100.8
"Hattiesburg, MS",metro,82.6
"Hickory, NC",metro,87.5
"Lenoir, NC",metro,87.5
"Morganton, NC",metro,87.5
"Hilton Head Island, SC",metro,94.1
"Bluffton, SC",metro,94.1
"Beaufort, SC",metro,94.1
"Hinesville, GA",metro,90.5
"Homosassa Springs, FL",metro,88
"Hot Springs, AR",metro,85.2
"Houma, LA",metro,91.5
"Thibodaux, LA",metro,91.5
"Houston, TX",metro,100.9
"The Woodlands, TX",metro,100.9
"Sugar Land, TX",metro,100.9
"Huntington, WV",metro,86.4
"Huntington, KY",metro,86.4
"Huntington, OH",metro,86.4
"Ashland, WV",metro,86.4
"Ashland, KY",metro,86.4
"Ashland, OH",metro,86.4
"Huntsville, AL",metro,89.9
"Idaho Falls, ID",metro,89.4
"Indianapolis, IN",metro,93.1
"Carmel, IN",metro,93.1
"Anderson, IN",metro,93.1
"Iowa City, IA",metro,96.2
"Ithaca, NY",metro,105.2
"Jackson, MI",metro,89.9
"Jackson, MS",metro,90.2
"Jackson, TN",metro,82.1
"Jacksonville, FL",metro,95.8
"Jacksonville, NC",metro,93.2
"Janesville, WI",metro,91.9
"Beloit, WI",metro,91.9
"Jefferson City, MO",metro,82.4
"Johnson City, TN",metro,88
"Johnstown, PA",metro,85.7
"Jonesboro, AR",metro,81.9
"Joplin, MO",metro,88.1
"Kahului, HI",metro,107.1
"Wailuku, HI",metro,107.1
"Lahaina, HI",metro,107.1
"Kalamazoo, MI",metro,91.9
"Portage, MI",metro,91.9
"Kankakee, IL",metro,97.5
"Kansas City, MO",metro,93.7
"Kansas City, KS",metro,93.7
"Kennewick, WA",metro,97.8
"Richland, WA",metro,97.8
"Killeen, TX",metro,92.1
"Temple, TX",metro,92.1
"Kingsport, TN",metro,85.2
"Kingsport, VA",metro,85.2
"Bristol, TN",metro,85.2
"Bristol, VA",metro,85.2
"Bristol, TN",metro,85.2
"Bristol, VA",metro,85.2
"Kingston, NY",metro,103.6
"Knoxville, TN",metro,89.3
"Kokomo, IN",metro,86.4
"La Crosse, WI",metro,92.9
"La Crosse, MN",metro,92.9
"Onalaska, WI",metro,92.9
"Onalaska, MN",metro,92.9
"Lafayette, LA",metro,89.2
"Lafayette, IN",metro,93.5
"West Lafayette, IN",metro,93.5
"Lake Charles, LA",metro,89
"Lake Havasu City, AZ",metro,93
"Kingman, AZ",metro,93
"Lakeland, FL",metro,92.9
"Winter Haven, FL",metro,92.9
"Lancaster, PA",metro,98.7
"Lansing, MI",metro,93.3
"East Lansing, MI",metro,93.3
"Laredo, TX",metro,88.8
"Las Cruces, NM",metro,92.3
"Las Vegas, NV",metro,98.7
"Henderson, NV",metro,98.7
"Paradise, NV",metro,98.7
"Lawrence, KS",metro,93.2
"Lawton, OK",metro,90.6
"Lebanon, PA",metro,94.9
"Lewiston, ID",metro,90.4
"Lewiston, WA",metro,90.4
"Lewiston, ME",metro,94.2
"Auburn, ME",metro,94.2
"Lexington, KY",metro,91.9
"Fayette, KY",metro,91.9
"Lima, OH",metro,88.7
"Lincoln, NE",metro,92.8
"Little Rock, AR",metro,90.9
"North Little Rock, AR",metro,90.9
"Conway, AR",metro,90.9
"Logan, UT",metro,90.3
"Logan, ID",metro,90.3
"Longview, TX",metro,91.7
"Longview, WA",metro,94.1
"Los Angeles, CA",metro,117.6
"Long Beach, CA",metro,117.6
"Anaheim, CA",metro,117.6
"Louisville, KY",metro,91.2
"Louisville, IN",metro,91.2
"Lubbock, TX",metro,93.4
"Lynchburg, VA",metro,90.9
"Macon, GA",metro,86.8
"Bibb County, GA",metro,86.8
"Madera, CA",metro,96.2
"Madison, WI",metro,97.8
"Manchester, NH",metro,107.9
"Nashua, NH",metro,107.9
"Manhattan, KS",metro,93.1
"Mankato, MN",metro,89.2
"North Mankato, MN",metro,89.2
"Mansfield, OH",metro,85.9
"McAllen, TX",metro,85.1
"Edinburg, TX",metro,85.1
"Mission, TX",metro,85.1
"Medford, OR",metro,98.5
"Memphis, TN",metro,91.5
"Memphis, MS",metro,91.5
"Memphis, AR",metro,91.5
"Merced, CA",metro,95
"Miami, FL",metro,106.8
"Fort Lauderdale, FL",metro,106.8
"West Palm Beach, FL",metro,106.8
"Michigan City, IN",metro,85.6
"La Porte, IN",metro,85.6
"Midland, MI",metro,91.1
"Midland, TX",metro,100.5
"Milwaukee, WI",metro,95.7
"Waukesha, WI",metro,95.7
"West Allis, WI",metro,95.7
"Minneapolis, MN",metro,102.4
"Minneapolis, WI",metro,102.4
"St. Paul, MN",metro,102.4
"St. Paul, WI",metro,102.4
"Bloomington, MN",metro,102.4
"Bloomington, WI",metro,102.4
"Missoula, MT",metro,96
"Mobile, AL",metro,88
"Modesto, CA",metro,98.7
"Monroe, LA",metro,85.9
"Monroe, MI",metro,94.6
"Montgomery, AL",metro,89.3
"Morgantown, WV",metro,91.3
"Morristown, TN",metro,81.3
"Mount Vernon, WA",metro,97.6
"Anacortes, WA",metro,97.6
"Muncie, IN",metro,88.6
"Muskegon, MI",metro,87.9
"Myrtle Beach, SC",metro,90.7
"Myrtle Beach, NC",metro,90.7
"Conway, SC",metro,90.7
"Conway, NC",metro,90.7
"North Myrtle Beach, SC",metro,90.7
"North Myrtle Beach, NC",metro,90.7
"Napa, CA",metro,120.1
"Naples, FL",metro,100
"Immokalee, FL",metro,100
"Marco Island, FL",metro,100
"Nashville, TN",metro,93.9
"Davidson, TN",metro,93.9
", TN",metro,93.9
"Murfreesboro, TN",metro,93.9
", TN",metro,93.9
"Franklin, TN",metro,93.9
"New Bern, NC",metro,86.7
"New Haven, CT",metro,112.1
"Milford, CT",metro,112.1
"New Orleans, LA",metro,95.6
"Metairie, LA",metro,95.6
"New York, NY",metro,121.9
"New York, NJ",metro,121.9
"New York, PA",metro,121.9
"Newark, NY",metro,121.9
"Newark, NJ",metro,121.9
"Newark, PA",metro,121.9
"Jersey City, NY",metro,121.9
"Jersey City, NJ",metro,121.9
"Jersey City, PA",metro,121.9
"Niles, MI",metro,89.4
